Field=Description~String~Description~339|Field=Designator~String~Designator~94|Field=Footprint~String~Footprint~76|Field=Manufacturer~String~Manufacturer~48|Field=Quantity~Integer~Quantity~48|Field=Value~String~Value~48|Field=Manufacturer P/N~String~Manufacturer P/N~48|Field=P/N~String~P/N~49|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~10033E1.PrjPcb|ReportField=ProjectFullPath~C:\Users\Administrator\Desktop\Enlogic_SVN\pduhw\NA\Power_MeteredBoard_Delta\10033E1.PrjPcb|ReportField=Title~Bill of Materials For Variant [NA_Power_MeteredBoard_delta_3J] of Project [10033E1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~93|ReportField=ReportTime~14:26:52|ReportField=ReportDate~2013/3/22|ReportField=ReportDateTime~2013/3/22 14:26:52|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~NA_Power_MeteredBoard_delta_3J|ReportField=PCBA P/N~PA00089|ReportField=Project~NA_Power_MeteredBoard_delta|ReportField=PCB P/N~PB10033E1|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2013/3/22|ReportField=CurrentTime~14:26:16|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Administrator\Desktop\Enlogic_SVN\pduhw\NA\Power_MeteredBoard_Delta\SC10033E1.SchDoc|ReportField=DocumentName~SC10033E1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2013/3/22|ReportField=Organization~|ReportField=PCBA PN~PA00013|ReportField=PCB PN~PB10013|ReportField=ProjectName~10033E1.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~TOP|ReportField=DataSourceFileName~10033E1.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Administrator\Desktop\Enlogic_SVN\pduhw\NA\Power_MeteredBoard_Delta\10033E1.PrjPcb
CONNECTOR 6PIN,3.5PITCH,PTH,ROHS|CN2|532590529-6P|MOLEX|1|532590629|532590629|EJ00053
CONNECTOR 1.25mm Pitch Header, Surface Mount, Vertical, Lead-Free, 2 Circuits|J1, J2, J3|533980271_sd|MOLEX|3|533980271|533980271|EJ00039
CONNECTOR 2PIN,2.54PITCH,90 Degrees,PTH|CN4|70551-2P|MOLEX|1|705510001|705510001|EJ00051
Ferrite Bead 600OHM@100MHz 200mA SMD 0805 ROHS|B2|L0805|Wuerth Electronic|1|600OHM@100MHz|742792041|EL00002
INDUCTOR 4.7uH 0.45A 5%,SRF = 50MHz,Q = 26, SMD 1008 ROHS|L1|L1008|Wuerth Electronic|1|4.7uH|74479887247|EL00009
XTAL 10MHz 18PF +/-30PPM,3.2mmWx5mmLx1.3mmH,-40~85,RoHS,SMD|X2|XTAL_5X3_2|ABRACON|1|10MHz|ABM3C-10.000MHZ-D4Y-T|EX00008
IC Energy Measurement,Irms,VA,VAR,Vrms,Watt,Output:Pulsed&SPI,SOIC_W-24,ROHS|U2|SOIC24-W|ANALOG DEVICES|1|ADE7758ARWZRL|ADE7758ARWZRL|EU00042
IC Isolated, RS-485/RS-422 transceiver,5kV,SOIC16_W,ROHS|U1|SOIC16|Analog Devices|1|ADM2484EBRWZ-REEL7|ADM2484EBRWZ-REEL7|EU00059
CAP SMD C0G 50V 5% 33pF 0805 ROHS|C60, C62|C0805|YAGEO|2|33pF|CC0805JRNPO9BN330|EC00017
CAP SMD CR X7R 50V 10% 1uF 0805 ROHS|C5, C21|C0805|YAGEO|2|1uF|CC0805KKX7R9BB105|EC00002
CAP SMD X7R 50V 10% 10nF 0805 ROHS|C26, C27|C0805|YAGEO|2|0.01uF|CC0805KRX7R9BB103|EC00037
CAP SMD CR X7R 50V 10% 0.1uF 0805 ROHS|C16, C18, C20, C24, C28, C30, C31|C0805|YAGEO|7|0.1uF|CC0805KRX7R9BB104|EC00014
CAP SMD CR X5R 16V 10% 10uF 0805 ROHS|C13, C17|C0805|Murata|2|10uF_16V|GRM21BR61C106KE15|EC00034
